Date,Open,High,Low,Close,Adj Close,Volume
2023-09-05,329.000000,334.850006,328.660004,333.549988,331.065002,18553900
2023-09-06,333.380005,334.459991,330.179993,332.880005,330.400024,17535800
2023-09-07,331.290009,333.079987,329.029999,329.910004,327.452118,18381000
2023-09-08,330.089996,336.160004,329.459991,334.269989,331.779602,19530100
2023-09-11,337.239990,338.420013,335.429993,337.940002,335.422302,16583300
2023-09-12,335.820007,336.790009,331.480011,331.769989,329.298248,17565500
2023-09-13,331.309998,336.850006,331.170013,336.059998,333.556305,16544400
2023-09-14,339.149994,340.859985,336.570007,338.700012,336.176636,20267000
2023-09-15,336.920013,337.399994,329.649994,330.220001,327.759827,37666900
2023-09-18,327.799988,330.399994,326.359985,329.059998,326.608459,16834200
2023-09-19,326.170013,329.390015,324.510010,328.649994,326.201508,16505900
2023-09-20,329.510010,329.589996,320.510010,320.769989,318.380188,21436500
2023-09-21,319.260010,325.350006,315.000000,319.529999,317.149445,35529500
2023-09-22,321.320007,321.450012,316.149994,317.010010,314.648254,21447900
2023-09-25,316.589996,317.670013,315.000000,317.540009,315.174316,17836000
2023-09-26,315.130005,315.880005,310.019989,312.140015,309.814545,26297600
2023-09-27,312.299988,314.299988,309.690002,312.790009,310.459656,19410100
2023-09-28,310.989990,315.480011,309.450012,313.640015,311.303375,19683600
2023-09-29,317.750000,319.470001,314.980011,315.750000,313.397614,24140300
2023-10-02,316.279999,321.890015,315.179993,321.799988,319.402557,20570000
2023-10-03,320.829987,321.390015,311.209991,313.390015,311.055237,21033500
2023-10-04,314.029999,320.040009,314.000000,318.959991,316.583679,20720100
2023-10-05,319.089996,319.980011,314.899994,319.359985,316.980713,16965600
2023-10-06,316.549988,329.190002,316.299988,327.260010,324.821899,25645500
2023-10-09,324.750000,330.299988,323.179993,329.820007,327.362793,19891200
2023-10-10,330.959991,331.100006,327.670013,328.390015,325.943481,20557100
2023-10-11,331.209991,332.820007,329.140015,332.420013,329.943451,20063200
2023-10-12,330.570007,333.630005,328.720001,331.160004,328.692810,19313100
2023-10-13,332.380005,333.829987,326.359985,327.730011,325.288361,21072400
2023-10-16,331.049988,336.140015,330.600006,332.640015,330.161774,22158000
2023-10-17,329.589996,333.459991,327.410004,332.059998,329.586121,18338500
2023-10-18,332.489990,335.589996,328.299988,330.109985,327.650635,23153600
2023-10-19,332.149994,336.880005,330.910004,331.320007,328.851624,25052100
2023-10-20,331.720001,331.920013,325.450012,326.670013,324.236298,25012600
2023-10-23,325.470001,332.730011,324.390015,329.320007,326.866516,24374700
